"key","original","translation","resource_Id","sorting"
"ACHIEVEMENT_INFO_450","クエスト「横たわる神」クリア","Complete 「The Lying God」",0,1
"ACHIEVEMENT_INFO_519","クエスト「異界の戦士」クリア","Complete 「The Otherworldly Warrior」",0,2
"ACHIEVEMENT_INFO_520","クエスト「湯煙の館」クリア","Complete 「The House of Steam」",0,3
"ACHIEVEMENT_INFO_521","クエスト「神の目覚め」クリア","Complete 「The Awakening of God」",0,4
"ACHIEVEMENT_INFO_522","クエスト「闇を纏う娘」クリア","Complete 「闇を纏う娘」",0,5
"ACHIEVEMENT_INFO_523","クエスト「命の行方」クリア","Complete 「命の行方」",0,6
"ACHIEVEMENT_INFO_528","ボードクエスト（討伐）を初めてクリア","Clear your first （討伐） Quest Board",0,7
"ACHIEVEMENT_INFO_529","ボードクエスト（討伐）を30回クリア","Clear 30 （討伐） Quest Board",0,8
"ACHIEVEMENT_INFO_530","ボードクエスト（討伐）を100回クリア","Clear 100 （討伐） Quest Board",0,9
"ACHIEVEMENT_INFO_531","ボードクエスト（討伐）を300回クリア","Clear 300 （討伐） Quest Board",0,10
"ACHIEVEMENT_INFO_532","ボードクエスト（討伐）を600回クリア","Clear 600 （討伐） Quest Board",0,11
"ACHIEVEMENT_INFO_533","ボードクエスト（納品）を初めてクリア","Clear your first （納品） Quest Board",0,12
"ACHIEVEMENT_INFO_534","ボードクエスト（納品）を30回クリア","Clear 30 （納品） Quest Board",0,13
"ACHIEVEMENT_INFO_535","ボードクエスト（納品）を100回クリア","Clear 100 （納品） Quest Board",0,14
"ACHIEVEMENT_INFO_536","ボードクエスト（納品）を300回クリア","Clear 300 （納品） Quest Board",0,15
"ACHIEVEMENT_INFO_537","ボードクエスト（納品）を600回クリア","Clear 600 （納品） Quest Board",0,16
"ACHIEVEMENT_INFO_538","ワールドクエスト（未公開）を初めてクリア","Clear your first （未公開） World Quests",0,17
"ACHIEVEMENT_INFO_539","ワールドクエスト（未公開）を10回クリア","Clear 10 （未公開） World Quests",0,18
"ACHIEVEMENT_INFO_540","ワールドクエスト（未公開）を50回クリア","Clear 50 （未公開） World Quests",0,19
"ACHIEVEMENT_INFO_1292","ワールドクエスト（未公開）を100回クリア","Clear 100 （未公開） World Quests",0,20
"ACHIEVEMENT_INFO_541","ワールドクエスト（公開）を初めてクリア","Clear your first （公開） World Quest",0,21
"ACHIEVEMENT_INFO_542","ワールドクエスト（公開）を10回クリア","Clear 10 （公開） World Quests",0,22
"ACHIEVEMENT_INFO_543","ワールドクエスト（公開）を100回クリア","Clear 100 （公開） World Quests",0,23
"ACHIEVEMENT_INFO_544","ワールドクエスト（公開）を300回クリア","Clear 300 （公開） World Quests",0,24
"ACHIEVEMENT_INFO_582","敵を総計100体討伐","Kill 100 total enemies",0,25
"ACHIEVEMENT_INFO_583","敵を総計300体討伐","Kill 300 total enemies",0,26
"ACHIEVEMENT_INFO_584","敵を総計1000体討伐","Kill 1 000 total enemies",0,27
"ACHIEVEMENT_INFO_585","敵を総計10000体討伐","Kill 10 000 total enemies",0,28
"ACHIEVEMENT_INFO_1295","敵を総計20000体討伐","Kill 20 000 total enemies",0,29
"ACHIEVEMENT_INFO_1296","敵を総計30000体討伐","Kill 30 000 total enemies",0,30
"ACHIEVEMENT_INFO_590","《ゴブリン》系エネミーを50体討伐","Kill 50 《Goblin》",0,31
"ACHIEVEMENT_INFO_591","《ゴブリン》系エネミーを200体討伐","Kill 200 《Goblin》",0,32
"ACHIEVEMENT_INFO_592","《ゴブリン》系エネミーを500体討伐","Kill 500 《Goblin》",0,33
"ACHIEVEMENT_INFO_608","《ホブゴブリン》系エネミーを30体討伐","Kill 30 《Hobgoblin》",0,34
